gender,age,height,weight,bust_circumference,waist_circumference,hip_circumference
F,47.0,1.522,64.7,1134.080867965368,1153.9949437229434,908.2043690476191
F,59.0,1.51,60.5,1134.4796179653679,1153.9949437229434,896.9016527777778
F,63.0,1.437,47.7,1134.4796179653679,1158.5341937229432,843.7815912698411
F,18.0,1.56,69.8,1139.9486774891777,1156.315821428571,1000.1790640331888
F,56.0,1.534,58.1,1134.4796179653679,1153.9949437229434,870.549224206349
F,54.0,1.55,61.9,1134.4796179653679,1153.9949437229434,894.87284992785
F,43.0,1.51,57.8,1134.4796179653679,1153.9949437229434,870.9067837301586
F,35.0,1.574,56.3,1132.7490941558442,1153.017003246753,865.0081507936509
M,16.0,1.799,99.8,1154.043102092352,1164.2095357142855,1174.9627337662341
M,19.0,1.721,74.9,1140.5374274891776,1157.4515714285712,1031.01041468254
M,55.0,1.619,67.4,1134.080867965368,1153.9949437229434,936.5968591269844
M,33.0,1.642,63.4,1132.7490941558442,1153.017003246753,886.6223293650795
M,48.0,1.667,67.5,1134.080867965368,1153.9949437229434,935.1446626984128
M,16.0,1.76,60.6,1140.3474274891776,1156.315821428571,906.8468542568544
M,16.0,1.745,60.6,1140.3474274891776,1156.315821428571,906.8468542568544
M,18.0,1.75,58.3,1140.3474274891776,1156.315821428571,890.0517480158735
M,18.0,1.87,65.2,1139.9486774891777,1156.315821428571,921.746704365079
M,43.0,1.676,71.6,1134.339617965368,1153.9949437229434,979.4112851731603
M,36.0,1.655,72.2,1132.3690941558443,1153.017003246753,1008.3808988095236
M,51.0,1.636,83.4,1136.6098401875904,1155.3591580086577,1051.687234126984
M,68.0,1.702,73.2,1134.069617965368,1158.5341937229432,984.4315496031746
M,16.0,1.635,48.3,1140.3474274891776,1156.315821428571,877.2563035714285
M,16.0,1.806,69.0,1139.9486774891777,1156.315821428571,973.9153340548341
M,19.0,1.883,65.8,1141.1686774891778,1157.4515714285712,920.8022718253966
M,26.0,1.641,64.9,1132.3503441558441,1153.017003246753,913.5536686507937
F,54.0,1.604,60.7,1134.4796179653679,1153.9949437229434,896.026152777778
F,47.0,1.514,52.9,1134.4796179653679,1153.9949437229434,864.9267449494943
F,47.0,1.585,72.1,1134.339617965368,1153.9949437229434,980.7362196969697
F,54.0,1.58,54.8,1134.4796179653679,1153.9949437229434,871.3016686507929
F,18.0,1.71,64.3,1139.9486774891777,1156.315821428571,917.2584265873018
F,18.0,1.587,47.7,1140.3474274891776,1156.315821428571,872.3957619047618
F,47.0,1.479,48.6,1134.4796179653679,1153.9949437229434,844.1734107142853
F,50.0,1.628,61.7,1134.4796179653679,1153.9949437229434,894.5020165945166
F,51.0,1.541,56.8,1134.4796179653679,1153.9949437229434,867.9118273809526
F,43.0,1.553,53.6,1134.4796179653679,1153.9949437229434,867.8763749999989
F,54.0,1.58,56.2,1134.4796179653679,1153.9949437229434,860.6148035714286
F,62.0,1.499,48.0,1134.4796179653679,1153.9949437229434,846.5913392857141
F,42.0,1.55,39.5,1134.4796179653679,1153.9949437229434,841.2564047619048
F,67.0,1.527,56.1,1134.4796179653679,1158.5341937229432,862.9610873015872
F,66.0,1.565,66.3,1133.9962846320348,1158.5341937229432,910.907146825397
F,53.0,1.592,64.3,1134.080867965368,1153.9949437229434,904.4319206349209
F,46.0,1.591,51.8,1134.4796179653679,1153.9949437229434,854.4541735209231
F,51.0,1.684,72.0,1134.339617965368,1153.9949437229434,980.312047077922
F,45.0,1.46,52.2,1134.4796179653679,1153.9949437229434,864.2540544733039
F,43.0,1.589,76.6,1134.459617965368,1153.9949437229434,1002.9991130952384
F,69.0,1.492,48.0,1134.4796179653679,1158.5341937229432,845.4811567460314
F,66.0,1.586,64.6,1133.9962846320348,1158.5341937229432,909.9700853174604
F,61.0,1.594,59.2,1134.4796179653679,1153.9949437229434,878.5190555555557
F,32.0,1.669,54.5,1132.7490941558442,1153.017003246753,887.2224265873015
F,33.0,1.608,56.3,1132.7490941558442,1153.017003246753,865.0081507936509
F,30.0,1.63,47.0,1132.7490941558442,1153.017003246753,859.1849365079365
F,51.0,1.66,74.6,1133.744617965368,1153.9949437229434,1001.0641249999998
F,62.0,1.518,59.4,1134.4796179653679,1153.9949437229434,877.6815555555556
F,34.0,1.536,53.7,1132.7490941558442,1153.017003246753,885.4369136002886
F,27.0,1.544,42.7,1132.7490941558442,1153.017003246753,851.5677400793654
F,57.0,1.654,54.6,1134.4796179653679,1153.9949437229434,868.5431448412688
F,41.0,1.559,51.8,1134.4796179653679,1153.9949437229434,854.4541735209231
F,59.0,1.594,59.1,1134.4796179653679,1153.9949437229434,877.8484305555556
F,61.0,1.51,67.0,1134.080867965368,1153.9949437229434,929.5486865079368
F,61.0,1.531,70.1,1134.080867965368,1153.9949437229434,970.9616596320345
F,22.0,1.621,53.2,1141.5674274891776,1157.4515714285712,884.5824761904759
F,47.0,1.565,65.5,1134.080867965368,1153.9949437229434,914.8087202380952
